title,url,content,source
[新聞] 視訊換臉工具以假亂真！詐騙暴增147%,https://www.ptt.cc/bbs/Bunco/M.1782731527.A.787.html,"視訊換臉工具以假亂真！詐騙暴增147% 專家提6點防範
https://3c.ltn.com.tw/news/66604
一款開源的「Deep-Live-Cam」軟體早在 2024 年便已爆紅，可以從一張照片中提取一個
人的臉部，並將其應用到即時網路攝影鏡頭視訊源上，意味著視訊時可以直接換上照片中
的人臉，但這套軟體如今被大量使用在詐騙上，資安專家提出 6 點防範措施。

「Deep-Live-Cam」軟體本身是一種娛樂，能換成自己喜愛人物的臉，也適用於內容創作
者的影片製作、遊戲實況主變換虛擬角色、影視產業用於後期特效，但外媒指出，該類型
「深偽」（DeepFake）詐騙案件呈現爆炸式成長，年增幅高達 147%。

常見的詐騙案例包括，取得公司高層的公開照片後，在視訊會議中冒充該主管，要求財務
人員匯款或提供敏感資料；於交友軟體、視訊中假冒他人進行情感詐騙；利用即時換臉冒
名開戶或取得視訊驗證；冒充政治人物或公眾人物進行假直播、發表假言論。

對於猖獗的「深偽」詐騙，資安專家提出以下 6 點防範措施：

1. 要求對方轉頭或變換角度：即時換臉技術在臉部大幅度轉動時，邊緣容易出現模糊或",ptt
[新聞] Steam實體禮物卡宣布停售！詐騙問題無解,https://www.ptt.cc/bbs/Bunco/M.1781221291.A.5A1.html,"Steam實體禮物卡宣布停售！Valve: 詐騙問題無解
https://3c.ltn.com.tw/news/66397
Valve確定將停止在實體零售通路販售「Steam 禮物卡」，這一消息已公布於官方支援網
頁，待現有庫存售完後，便會正式走入歷史。

Valve表示，做出這項決定的主因是詐騙問題始終無法有效遏止。近年來，不少詐騙集團
利用Steam實體禮物卡行騙，不僅影響Steam玩家，也讓許多一般民眾受害。

常見手法是誘騙受害者前往商店購買Steam禮物卡，再以各種理由要求提供卡片上的兌換
序號。一旦詐騙者取得序號，便能立即將卡內餘額轉走，受害者往往很難追回損失。

為了打擊這類詐騙，Valve過去其實已採取多項措施，包括與執法單位合作、在禮物卡上
增加警示訊息，以及限制實體禮物卡的販售範圍和數量。然而，Valve坦言，詐騙集團也
不斷調整手法，因此問題始終未能徹底解決。

現有庫存售完為止
Steam自2012年開始販售實體禮物卡，至今已有14年歷史。Valve預估，目前市面上的庫存
將於2026年底前陸續售罄，屆時實體Steam禮物卡將正式退出市場。不過玩家無須擔心，
已",ptt
[新聞] 運發局嚴正澄清！詐騙登假廣告運動課程,https://www.ptt.cc/bbs/Bunco/M.1781092076.A.109.html,"運發局嚴正澄清！詐騙人士登假廣告「運動中心課程招生」誘導加入LINE群

民眾切勿上當
https://www.storm.mg/article/11140348
近日經民眾反映，社群平台 Facebook 上出現名為「高雄市尚讚a」等非官方粉絲專頁，
以「大高雄運動上課好所在」「全區運動課程開始報名」為名，刊登付費廣告，宣稱提供
有氧、瑜珈、皮拉提斯、核心、飛輪、舞蹈、燃脂、游泳等課程，並以「點擊查課表」、
「瞭解詳情」等按鈕，誘導民眾點擊連結，加入不明 LINE 群組。高雄市政府運動發展局
（以下簡稱運發局）特此嚴正澄清，上開粉專及廣告均非運發局或各運動中心所發布，請
市民朋友務必提高警覺，切勿點擊、加入或提供任何個人資料。

運發局表示，本市運動中心及運動課程之相關訊息、報名與活動公告，僅透過下列官方管
道發布，請民眾認明：

‧官方臉書粉絲專頁：高雄市政府運動發展局(facebook.com/ksdkcg)

‧官方網站：高雄市政府運動發展局全球資訊網(
https://sports.kcg.gov.tw/)
‧各區運動中心：各運動中心之官方網站及官方社群帳號

凡非上述管道、",ptt
[新聞] 國際特赦組織指柬埔寨掃盪詐騙不彰　仍有數十園區運作,https://www.ptt.cc/bbs/Bunco/M.1781011130.A.5D9.html,"國際特赦組織指柬埔寨掃盪詐騙不彰　仍有數十園區運作

2026/6/8 22:29

（中央社金邊8日綜合外電報導）國際特赦組織今天發布報告指出，儘管柬埔寨當局已對
境內跨國詐騙園區進行數月掃蕩，但在已知的86個園區當中，僅24個遭政府關閉，仍有數
十個疑似詐騙中心仍在持續運作。

路透社報導，總部在英國的國際特赦組織（Amnesty International）在這份176頁報告當
中批評，柬埔寨政府的掃蕩許多常是被動行動或無效，或因為詐騙園區管理者顯然與警方
有勾結而效果減弱，例如有逃出的人表示，掃蕩期間他們曾被移往柬埔寨各地躲避查緝。

國際特赦組織在報告中說，其研究人員訪問了73名曾被迫關在柬埔寨詐騙園區的人士，他
們全都表示曾經經歷或目睹虐待情況，包括有6名女性稱自己遭到性侵。

國際特赦組織並指責柬埔寨當局將從詐騙園區逃離或獲釋的人當作非法移民對待，而非把
他們當作人口販運的被害人。

報告結論指出，柬埔寨對詐騙園區的掃盪在兩大關鍵方面皆失敗，無論是對一些最知名園
區的調查和關閉，或是對從園區逃離或被帶走的被害人提供保護和協助。

不過，柬埔寨政府發布聲明反駁國際特赦組織。",ptt
[資訊] AI時代的詐騙升級 我們如何自保,https://www.ptt.cc/bbs/Bunco/M.1780748863.A.573.html,"AI時代的詐騙升級 我們如何自保
https://www.epochtimes.com/b5/26/6/6/n14783102.htm
【大紀元2026年06月06日訊】（大紀元記者蔡溶 報導）在AI（人工智慧）爆炸式成長的
短短兩年間，詐騙也完成了自己的「科技升級」。從語音克隆、深偽影像、自動化聊天機
器人到數千個假投資平台，詐騙集團已經從過去的「粗糙話術」進化成真假難辨，甚至能
為你量身打造劇本卻成本極低的犯罪產業鏈。

FBI 近日通緝一名手持廣州公安證件、涉嫌詐騙在美中國留學生的華男，並呼籲民眾提供
線索。
FBI 近日通緝一名手持廣州公安證件、涉嫌詐騙在美中國留學生的華男，並呼籲民眾提供
線索。（FBI官網）
2026年3月12日，位於柬埔寨一處詐騙中心內，設有假冒的上海浦東警察局。
2026年3月12日，位於柬埔寨一處詐騙中心內，設有假冒的上海浦東警察局。（Lillian
SUWANRUMPHA / AFP via Getty Images）
全球都在面對同一場危機。FBI報告美國去年網路詐騙損失逼近210億美元，其中近9億美
元與AI相關；英國的機構也報告一年遭詐金額達9",ptt
[新聞] 新竹建商遭詐騙 現金、金條等6500萬泡湯,https://www.ptt.cc/bbs/Bunco/M.1780567721.A.047.html,"新竹建商遭詐騙 現金、金條等6500萬泡湯 瑞銀金條有編號 銀樓公會發海捕公告
https://news.ltn.com.tw/news/society/paper/1757379
新竹市一名邱姓建商陷入「假投資」詐騙，起初持現金面交投資，之後詐團得知他家中存
放有大量金條，還慫恿交付金條投資，總財損逾六千五百萬元，因該案為五千萬元以上的
重大詐騙案件，檢警單位已組專案小組積極偵辦中。

詐團得知家有金條 慫恿投資
邱姓建商被騙的六千五百萬中，有一千七百萬是用七十一條有編號的UBS黃金條塊交付，
總重約九十二台兩。由於瑞士銀行（UBS）發行的金條代表最高規格的品質保證，一般銀
樓收到不會鎔掉，所以為了協助警方破案，全國銀樓同業公會接獲新竹銀樓業者求助後，
昨天發出「海捕」公告，包括涉案金條序號清單，提醒各銀樓注意。

檢警調查，該名建商是在去年底加入一個投資股票的LINE群組，群組鼓吹「穩賺不賠、保
證獲利」，建商原欲依指示匯款進入對方指定的帳戶內，隨後都改以面交投資款；每次詐
團都相約在該建商住家附近公園等地點，派遣車手前往收取現金。

公會發序號清單 籲銀樓注意
詐團甚至得知該建商",ptt
[新聞] 新聞眼／踩在惡的那端 詐騙惡害深蝕不同,https://www.ptt.cc/bbs/Bunco/M.1780323101.A.71A.html,"新聞眼／踩在惡的那端 詐騙惡害深蝕不同年齡層
https://udn.com/news/story/124490/9535829
六十歲原是耳順之年，在經歷人生、社會歷練後，足以平靜聆聽別人所言、明辨是非，古
人的理想卻難套用在現實社會。六十歲以上高齡車手暴增，一時難以定論是「老人變壞」
，或是「壞人變老」，若非生存困難，誰會想在高齡還面臨牢獄之災，更顯詐騙集團惡害
已廣泛深蝕不同年齡層。


詐團中的車手角色，負責出面領收贓款，是詐騙產業鏈最底層、風險最高，但獲利最少的
角色，早年警方「斬手專案」企圖廣抓車手遏阻詐騙，但集團預設斷點以規避溯源，車手
如同免洗筷般用完就扔、落網即棄。


過去案例，詐團最常利用未成年人或失學年輕族群當車手，但未成年人被抓也會怕，他們
漸漸不願再充當「免洗筷」，加上詐騙危害防制條例也就利用未滿十八歲之人犯罪者加重
其刑，詐團才轉向吸收更好控制、不會質疑指令，且外表更「無害」的高齡者從事詐騙。


高齡車手暴增，第一線檢警有感，檢察官感慨「老人越來越多」，年邁弱勢、經濟困境者
，一般人看了都不忍苛責，檢方偵辦過程也是無奈又嗟嘆，就連要不要聲請羈押，都是煎
",ptt
[新聞] Meta AI曝公司主要營收是「中國詐騙廣告,https://www.ptt.cc/bbs/Bunco/M.1780322927.A.CD8.html,"Meta AI曝公司主要營收是「中國詐騙廣告」
https://news.ltn.com.tw/news/world/breakingnews/5456420
Meta公司旗下社群平台Threads測試「Meta AI」整合功能，吸引大批用戶標註「@meta.ai
」互動。由於Meta在台灣近年淪為詐騙等犯罪溫床，不少網友好奇詢問Meta AI相關問題
，結果它不僅「自首」公司營收確實是來自中國詐騙等違規廣告，還揭露中國金主如何投
放廣告，過於誠實的描述一出瞬間轟動全網。

據悉，Meta AI自今年5月28日上線後，不斷回應各種領域、內容千奇百怪的諸多問題。其
中，在繁體中文用戶的部分，陸續有人向Meta AI提問有關「中國詐騙廣告」、「Meta營
收多少來自中國和香港」、「明知道很多廣告是惡意詐騙，為何麼仍讓投放詐騙廣告」等
議題，Meta AI則像是吃了「誠實豆沙包」般，逐一詳細解釋背後原由。

Q：為什麼Meta要解散反詐團隊？
Meta AI表示，主要是受到「成本考量」跟「收入取捨」影響，Meta 規定打擊詐騙行動導
致的營收損失，不得超過0.15%、約1.35億美元（約新台",ptt
[新聞] 租屋詐騙新變種破解 3招破解假房東,https://www.ptt.cc/bbs/Bunco/M.1780049324.A.589.html,"租屋詐騙新變種破解：揭秘「先匯訂金優先看房」的心理陷阱，3 招識破假房東
https://reurl.cc/Q2kM2o
租屋詐騙新變種破解：揭秘「先匯訂金優先看房」的心理陷阱，3 招識破假房東

租屋市場詐騙手段再進化！網路上看到精美裝潢、租金卻遠低於行情的夢幻物件，小心是
詐騙陷阱。本文深度拆解「先匯款搶優先看房權」的心理戰術，整理最新假房東詐騙手法
與對話劇本。傳授 3 招防詐黃金守則，教你如何查驗產權、善用反向搜索，並附上受騙
後的緊急補救指南，助你在租屋攻防戰中保全資產、安心成家。

一、 前言：當找房焦慮撞上完美物件
在租屋族群的尋房過程中，最折磨人的往往不是搬家的勞頓，而是那種「好房子一轉眼就
被租走」的集體焦慮。隨著都市人口持續飽和，捷運周邊、科學園區附近的優質物件長期
處於供不應求的狀態。

當你在各大租屋社團、樂屋網或臉書粉專上，滑到一間生活機能絕佳、北歐風精美裝潢、
採光無敵，而且租金竟然只要市價的 7 折時，你的心跳是不是漏了一拍？

「運氣也太好了吧！這間不搶絕對會後悔。」——正是這種內心的狂喜與隨之而來的「
FOMO 焦慮（ Fear of Missing ",ptt
[資訊] OTP平台遭駭後，詐騙可能全面升級,https://www.ptt.cc/bbs/Bunco/M.1779965071.A.4FE.html,"OTP平台遭駭後，詐騙可能全面升級

轉貼自脆
https://www.threads.com/@wasitaiwanlan/post/DY268i-EjDQ
全民注意
【 OTP平台遭駭後，詐騙可能全面升級】
這次最可怕的，
不是只有電話或簡訊外流。
而是——
詐騙集團未來可能會知道你：
 最近有沒有辦護照
 有沒有看醫生
 用哪家銀行
 有沒有貸款
 最近有沒有收政府通知


接下來的詐騙，很可能會變成：「超級擬真版客製化詐騙」！

對方甚至能講出你最近真實生活資訊，讓人誤以為：「他真的知道我的資料！」

尤其家中長輩，
會是這波最危險的族群！

所以請大家務必：

不亂點簡訊連結

OTP驗證碼絕不提供

改用雙重驗證App

開啟銀行即時通知

接到客服電話先掛掉再自己重打

遇到「限時處理」先冷靜查證

 已整理成 10 張防詐圖卡

請幫忙分享給家人、長輩、朋友！
現在的詐騙，
最可怕的不是一看就假的。
而是：
「看起來完全像真的。」
多一人看到，少一人受害

--
Mr.
Raindrop, falling away from
me now.
/
/
∕︵︵︵︵︵︵︵﹨
",ptt
